route,latitude,longitude,speed,event_type,severity,confidence,pawar_prob,gyro_peak,dip_magnitude,bump_magnitude,accel_x_peak,total_z_dev,cluster
D,30.67568311189563,76.72417490577152,7.815312705253579,Speed Bump,4.2017965,0.65,0.9999798536300659,0.17097276013321613,2.810993728637696,2.441252174377439,2.031536102294922,2.810993728637696,57
D,30.675811377377038,76.7240595370053,9.68860830585224,Speed Bump,4.6478186,0.65,0.9999997615814209,0.11763355318724004,2.968920288085937,2.8408531570434548,1.370649337768555,2.968920288085937,57
D,30.67596986824043,76.72392277546662,11.525389440410686,Speed Bump,7.8752584,0.65,1.0,0.3165203681346118,5.672809658050538,4.171263160705566,3.5058577060699463,5.672809658050538,58
D,30.676148525140498,76.72377550369957,12.181414721102142,Speed Bump,6.2328243,0.65,0.9963604807853699,0.3110446288422945,3.473805484771728,4.317224922180175,2.333949089050293,4.317224922180175,59
D,30.676498803537495,76.72350351790647,11.511515985499257,Speed Bump,5.1991253,0.65,0.9871187210083008,0.23737894404183257,3.3757000541687017,3.1232065582275403,2.2954938411712646,3.3757000541687017,60
D,30.676673089843874,76.7233596936957,11.940078690899906,Speed Bump,9.603833,0.65,1.0,0.49532787808435697,6.426548776626587,5.578242721557615,2.701959609985352,6.426548776626587,61
D,30.676842888119676,76.72321547794633,11.73766533714816,Speed Bump,5.245067,0.65,0.9678974151611328,0.11887048144185287,3.4139853096008306,3.142348709106443,1.520024061203003,3.4139853096008306,62
D,30.677008455006415,76.72307325165903,11.198285561617418,Speed Bump,3.8227735,0.65,0.9376956820487976,0.0692555260706512,2.0213623619079595,2.757104339599609,1.6586124897003174,2.757104339599609,63
D,30.677169726513462,76.7229371606984,10.594980374936585,Speed Bump,8.885986,0.65,0.9886259436607361,0.3505314267967209,5.321064529418946,5.786418380737304,2.401530742645264,5.786418380737304,64
D,30.677314074191422,76.7228196270044,9.201046965096936,Speed Bump,8.1700535,0.65,0.978333592414856,0.2866842293904802,5.512490329742432,4.700076522827148,2.157374858856201,5.512490329742432,64
D,30.677704371513066,76.72249517020894,3.4793120669878794,Speed Bump,2.2243676,0.65,0.46473848819732666,0.05530076396549533,1.4159780120849614,1.3644813919067378,0.8852674961090088,1.4159780120849614,65
D,30.67809598116333,76.72214574470316,2.442281866364765,Speed Bump,2.2971091,0.65,0.4162680208683014,0.03647007930411778,1.5021195983886724,1.3692669296264643,0.6881433725357056,1.5021195983886724,66
D,30.678517542193628,76.72179811773616,3.046879471746741,Speed Bump,5.626004,0.65,0.9999901056289673,0.3973141294761298,3.629339275360108,3.403166236877439,2.4383232593536377,3.629339275360108,67
E,30.690254489112178,76.71189080533706,2.0707362701124046,Speed Bump,4.6650476,0.65,0.4516727924346924,0.380670020512218,3.3972354507446294,2.434073867797851,1.899913430213928,3.3972354507446294,68
E,30.690286763695603,76.71186399127902,2.477655507088946,Speed Bump,5.70066,0.65,0.9999997615814209,0.4230657028942757,3.2584515190124517,3.867373886108398,1.871477484703064,3.867373886108398,68
E,30.690328108653112,76.71183221219752,2.934312328571734,Speed Bump,4.9177294,0.65,1.0,0.6268341900946973,3.277594146728516,2.8695673370361323,11.126455307006836,3.277594146728516,68
E,30.6905076584623,76.71167521737071,3.644964131313181,Speed Bump,5.1838107,0.65,0.9999502897262573,0.1396135747939374,2.9904556846618657,3.489307823181152,2.1436855792999268,3.489307823181152,69
E,30.690568082252277,76.71162900790137,4.15236483216615,Pothole,10.0,1.0,1.0,2.461787386301516,9.738215317428113,12.486321868896484,5.784756660461426,12.486321868896484,139
E,30.690631480725887,76.71159400295872,3.6337240046867474,Pothole,6.7926464,1.0,0.9999998807907104,0.9841338446831401,2.7703157043457036,3.5467361831665034,3.9266116619110103,3.5467361831665034,139
E,30.69068832144262,76.71157231103932,3.428884536002517,Speed Bump,4.3128233,0.65,0.9928537011146545,0.4281941000341656,2.071611461639405,3.3194174194335933,2.083352565765381,3.3194174194335933,70
E,30.690757682356686,76.71155818624818,4.15673930901219,Speed Bump,5.2259245,0.65,0.9999868869781494,0.36211789306912057,2.9019208526611333,3.630485000610351,1.7982378005981443,3.630485000610351,70
E,30.690902755462638,76.71158272042982,3.156522325219585,Pothole,6.415563,0.9933071,0.6962947249412537,0.9759931219447677,2.8492789840698247,3.8721594238281227,2.5293874740600586,3.8721594238281227,140
E,30.690988751522063,76.71164824550927,3.1545920062840573,Speed Bump,4.797131,0.65,0.999998927116394,0.3629635347613447,3.260844287872315,2.7355694198608393,2.720970869064331,3.260844287872315,71
E,30.691045873234312,76.71169951542277,4.6727890492813415,Speed Bump,3.8323452,0.65,0.8867843747138977,0.13732711013456403,1.9328280067443853,2.857603492736816,1.5941556692123413,2.857603492736816,71
E,30.691110688835526,76.71176750233953,4.666065739892787,Speed Bump,4.8162737,0.65,0.49824801087379456,0.10798947444898128,3.3134866333007817,2.7068552398681636,1.830247521400452,3.3134866333007817,71
E,30.691159925339818,76.71183829973268,4.181812110265015,Speed Bump,2.9441292,0.65,0.5415165424346924,0.10789224750738476,1.9950414276123052,1.6851200485229487,1.560604453086853,1.9950414276123052,71
E,30.691247609439156,76.71198772965032,5.234359119242022,Speed Bump,7.1612396,0.65,0.9999969005584717,0.10422718129774466,4.890356597900391,4.061192932128906,1.1371467113494873,4.890356597900391,71
E,30.691348803755247,76.71217156837325,4.669915510843687,Speed Bump,3.4877784,0.65,0.9595398306846619,0.05810248016905064,2.0907540893554692,2.268969001770019,1.0949455499649048,2.268969001770019,72
E,30.69152668068006,76.7124638346438,3.9058372200308518,Speed Bump,5.7753167,0.65,0.9997639060020447,0.2508265658972299,4.045690116882325,3.173455657958984,1.1445045471191406,4.045690116882325,73
E,30.691640631719043,76.71264738184198,2.4427441390963316,Speed Bump,3.168097,0.65,0.9626822471618652,0.09023530167524993,1.7079024887084966,2.2522186660766597,1.485400676727295,2.2522186660766597,74
E,30.691666749241694,76.712688368169,2.545085295441937,Speed Bump,6.102655,0.65,0.9225943684577942,0.2942671852727673,4.241901931762696,3.386416854858398,1.613654375076294,4.241901931762696,74
E,30.691731899394465,76.71279689209886,4.344841537430185,Speed Bump,7.6091757,0.65,1.0,0.282043906298731,4.9238563156127935,4.587613525390623,1.524515151977539,4.9238563156127935,74
E,30.691790823409228,76.71289481899923,6.963806717497473,Speed Bump,7.9097147,0.65,1.0,0.16206448672219775,5.376099643707276,4.511043968200683,1.4929357767105105,5.376099643707276,74
E,30.691957885893938,76.71316111413782,7.901739268121797,Speed Bump,4.8392444,0.65,0.9999125003814697,0.14082467871759655,2.7368164634704595,3.3122391128540034,1.407631516456604,3.3122391128540034,75
E,30.692042899052346,76.71330464664811,8.796698525376732,Speed Bump,10.0,0.65,1.0,0.15959563969732454,5.306707916259766,7.490107955932617,1.5361850261688232,7.490107955932617,75
E,30.69220435597312,76.71355785206168,6.28752631740711,Speed Bump,2.6971893,0.65,0.8687549829483032,0.056225848021210126,1.5571542358398442,1.8143324279785151,0.7890809774398804,1.8143324279785151,76
E,30.692394203435068,76.7137507204884,2.7676213192193666,Speed Bump,3.2484963,0.65,0.9980674386024475,0.3077746927363688,2.212788162231446,1.8478321456909175,1.7485889196395874,2.212788162231446,77
E,30.692478303080957,76.71370298959026,2.2596536160287015,Speed Bump,3.57392,0.65,0.9176684021949768,0.2769831415699213,1.9735060310363775,2.4938940429687495,2.2137227058410645,2.4938940429687495,77
