t_start,t_end,t_mid,duration,event_type,severity,confidence,dip_magnitude,bump_magnitude,gyro_peak,accel_x_peak,total_z_dev
1508.3899999999994,1508.4820000000036,1508.4360000000015,0.09200000000419095,Rough Patch,0.5149552,0.3,0.643694,0.5575019999999995,0.03073327319046899,0.695713,0.643694
1523.2419999999984,1523.2770000000019,1523.2595000000001,0.03500000000349246,Speed Bump,1.80036,0.65,1.145589000000001,1.1048609999999996,0.03016217473923258,0.360718,1.145589000000001
1524.2200000000012,1524.270000000004,1524.2450000000026,0.05000000000291038,Speed Bump,2.4009583,0.65,1.9268460000000003,1.0743519999999993,0.06403544764425403,0.387637,1.9268460000000003
1552.1000000000058,1552.19200000001,1552.146000000008,0.09200000000419095,Speed Bump,10.0,0.65,9.996640000000001,4.506257,0.26740460333546995,0.215952,9.996640000000001
1662.4760000000097,1662.5109999999986,1662.4935000000041,0.034999999988940544,Speed Bump,2.611048,0.65,1.8024190000000004,1.461390999999999,0.6154205673951757,0.114855,1.8024190000000004
1664.547000000006,1664.5970000000088,1664.5720000000074,0.05000000000291038,Speed Bump,3.4810784,0.65,2.5723100000000008,1.779038,0.37476802428435646,0.881157,2.5723100000000008
1672.4070000000065,1672.4470000000001,1672.4270000000033,0.03999999999359716,Pothole,10.0,0.95,7.030737,10.622911,1.2309949471305721,2.898306,10.622911
1672.49500000001,1672.5409999999974,1672.5180000000037,0.04599999998754356,Pothole,10.0,0.95,6.946988000000001,5.181034,0.8494402635176885,2.769094,6.946988000000001
1678.8280000000086,1678.8530000000028,1678.8405000000057,0.024999999994179234,Speed Bump,4.1630335,0.65,2.2397080000000003,2.9640839999999997,0.19494571827562668,0.916451,2.9640839999999997
1686.1059999999998,1686.19200000001,1686.149000000005,0.08600000001024455,Road Bump,2.072745,0.5,0.0,1.381829999999999,0.1285424376383146,0.450449,1.381829999999999
1686.4670000000042,1686.5040000000008,1686.4855000000025,0.036999999996623956,Speed Bump,2.2813168,0.65,1.6068050000000014,1.2448409999999992,0.08195915107539853,0.878166,1.6068050000000014
1695.9309999999969,1695.9579999999987,1695.9444999999978,0.027000000001862645,Rough Patch,1.1423537,0.3,1.4279419999999998,0.0,0.09903260597399222,0.44686,1.4279419999999998
1708.9040000000095,1708.9309999999969,1708.9175000000032,0.02699999998731073,Speed Bump,2.0415552,0.65,1.2395069999999997,1.3124369999999992,0.07982068594668928,0.254237,1.3124369999999992
1724.497000000003,1724.5250000000087,1724.5110000000059,0.02800000000570435,Speed Bump,3.706004,0.65,2.5465870000000006,2.0859179999999995,0.10846761748558875,0.205185,2.5465870000000006
1731.5050000000047,1731.5409999999974,1731.523000000001,0.03599999999278225,Speed Bump,3.603112,0.65,2.4915520000000004,2.0123379999999997,0.0908385712183982,0.346361,2.4915520000000004
1742.5250000000087,1742.6230000000069,1742.5740000000078,0.09799999999813735,Hard Braking,0.6955932,0.65,1.7952410000000008,0.0,0.29458846932627897,0.579661,1.7952410000000008
1757.1070000000036,1757.229999999996,1757.1684999999998,0.12299999999231659,Pothole,7.527266,0.55,5.776299000000001,0.0,0.2978535802806473,0.288933,5.776299000000001
1757.4089999999997,1757.4560000000056,1757.4325000000026,0.04700000000593718,Road Bump,7.206246,0.5,0.0,4.804164,0.2941403857650289,0.160917,4.804164
1761.096000000005,1761.1370000000024,1761.1165000000037,0.04099999999743886,Road Bump,5.6906924,0.5,0.0,3.7937949999999994,0.4328972818879786,2.145165,3.7937949999999994
1780.8859999999986,1781.024000000005,1780.9550000000017,0.13800000000628643,Pothole,10.0,0.95,11.554966,16.581038999999997,1.2088742247256328,1.131805,16.581038999999997
1781.06700000001,1781.1010000000097,1781.0840000000098,0.033999999999650754,Pothole,10.0,0.95,10.052871,9.425900999999998,0.8910997480686436,0.573679,10.052871
1787.6790000000037,1787.7100000000064,1787.694500000005,0.031000000002677552,Road Bump,6.105249,0.5,0.0,4.070165999999999,0.14919975618612785,0.604188,4.070165999999999
1799.1730000000098,1799.2070000000094,1799.1900000000096,0.033999999999650754,Pothole,4.1908307,0.55,3.2811830000000004,0.0,0.12670549917821247,0.870987,3.2811830000000004
1799.4400000000023,1799.4689999999973,1799.4544999999998,0.02899999999499414,Road Bump,2.5483184,0.5,0.0,1.6988789999999998,0.11467439530688618,1.207777,1.6988789999999998
1847.4630000000034,1847.5290000000095,1847.4960000000065,0.06600000000617001,Pothole,10.0,0.95,11.578894,16.287321,1.4199509271400896,0.674776,16.287321
1847.6560000000027,1847.6929999999993,1847.674500000001,0.036999999996623956,Speed Bump,10.0,0.65,6.272810000000001,7.106059,0.43727413944572574,0.829711,7.106059
1876.7370000000083,1876.773000000001,1876.7550000000047,0.03599999999278225,Pothole,10.0,0.95,1.8819800000000004,1.7210129999999992,4.436456330258419,5.876772,1.8819800000000004
1888.7690000000002,1888.797000000006,1888.783000000003,0.02800000000570435,Speed Bump,10.0,0.65,5.374903000000001,7.881334000000001,0.590466203656907,1.227518,7.881334000000001
1888.8880000000063,1888.9720000000088,1888.9300000000076,0.08400000000256114,Speed Bump,8.698867,0.65,3.0688210000000007,7.8047629999999995,0.4501226019975002,0.979263,7.8047629999999995
1902.2320000000036,1902.4670000000042,1902.349500000004,0.23500000000058208,Pothole,10.0,0.95,12.750181000000001,27.586827999999997,2.8537519806693084,0.839881,27.586827999999997
1913.695000000007,1913.8369999999995,1913.7660000000033,0.14199999999254942,Pothole,10.0,1.0,10.033131000000001,18.821917999999997,5.699746936262083,3.128017,18.821917999999997
1917.578999999998,1917.6080000000075,1917.5935000000027,0.029000000009546056,Speed Bump,10.0,0.65,8.127248,6.699878,0.26377984841530255,0.407976,8.127248
1917.8439999999973,1917.9000000000087,1917.872000000003,0.0560000000114087,Speed Bump,10.0,0.65,9.762144000000001,11.40357,0.6191480153993874,0.546162,11.40357
1931.4330000000045,1931.551999999996,1931.4925000000003,0.11899999999150168,Speed Bump,5.355615,0.65,3.0759990000000004,3.61852,0.2926544825113738,1.869991,3.61852
1943.1120000000083,1943.2489999999962,1943.1805000000022,0.1369999999878928,Pothole,4.8016877,0.55,3.692749,0.0,0.18519451339875054,1.249053,3.692749
1943.5040000000008,1943.573000000004,1943.5385000000024,0.06900000000314321,Road Bump,4.3447304,0.5,0.0,2.8964869999999987,0.2112549420700022,0.534796,2.8964869999999987
1956.900999999998,1956.9590000000026,1956.9300000000003,0.0580000000045402,Pothole,10.0,0.95,9.318873,6.5347719999999985,1.002829291824885,2.669194,9.318873
1963.2829999999958,1963.326000000001,1963.3044999999984,0.043000000005122274,Pothole,10.0,1.0,11.732035,9.127397,1.4335012355407997,2.888735,11.732035
1967.3510000000097,1967.4609999999957,1967.4060000000027,0.10999999998603016,Pothole,10.0,1.0,16.307112,20.054222000000003,2.544582686944364,2.151148,20.054222000000003
1967.5800000000017,1967.6070000000036,1967.5935000000027,0.027000000001862645,Pothole,10.0,0.95,8.458055,0.0,1.345650201178969,2.683551,8.458055
1977.62000000001,1977.7119999999995,1977.6660000000047,0.09199999998963904,Speed Bump,10.0,0.65,9.585075,7.201175000000001,0.37615583242720024,0.886541,9.585075
1977.846000000005,1977.8859999999986,1977.8660000000018,0.03999999999359716,Speed Bump,7.975756,0.65,5.051274,4.918421,0.23081789528760546,0.37328,5.051274
1988.7100000000064,1988.8050000000076,1988.757500000007,0.09500000000116415,Pothole,4.463164,0.55,3.3188710000000006,0.0,0.2402592820496224,0.659821,3.3188710000000006
