route,latitude,longitude,speed,event_type,severity,confidence,gyro_peak,z_kurtosis,dip_magnitude,bump_magnitude,accel_x_peak,total_z_dev,cluster
Route_2,30.64082924756196,76.73802970435779,15.318679894219322,Pothole,10.0,1.0,1.221038585529184,3.718513258058458,9.529441533088685,8.312041702270507,4.082406044006348,9.529441533088685,92
Route_2,30.64067296481387,76.73775240817832,15.89498973295082,Pothole,8.553984,0.91149163,0.5491603318593459,1.3619192309849257,7.183278856277466,8.312041702270507,3.940678834915161,8.312041702270507,93
Route_2,30.640520535362832,76.73748041659611,15.694590766148607,Speed Bump,4.5852466,0.65,0.18045521713567148,0.07639598466314634,4.152170715332032,2.3981813812255854,2.3346831798553467,4.152170715332032,36
Route_2,30.640362450072217,76.7372013255259,15.78980855505869,Pothole,10.0,1.0,2.8217482232731976,7.104218060833848,17.32047229766846,24.67834991455078,6.35187578201294,24.67834991455078,94
Route_2,30.64020831712209,76.73694227271271,14.376400893338015,Pothole,10.0,0.91808647,0.5408526757328055,2.3472138752245675,8.782880840301514,9.255412521362304,3.781838893890381,9.255412521362304,95
Route_2,30.64007720557649,76.73673444875257,11.771756772641027,Pothole,5.5456915,0.62843126,0.33201715000560944,4.028137016518808,5.421563205718995,5.544145050048828,2.819302558898926,5.544145050048828,96
Route_2,30.639947871464347,76.73659690394273,9.583560308633572,Pothole,9.624048,0.9475534,0.558536999611412,2.1409044906579,8.078792867660523,6.003566207885742,3.3879265785217285,8.078792867660523,96
Route_2,30.639812507362638,76.73648735477326,9.33072847941966,Pothole,10.0,1.0,5.349249062048803,9.957963895834553,9.826749758273364,11.94135612487793,26.601608276367188,11.94135612487793,96
Route_2,30.639734604268018,76.73631688321407,9.337553673994657,Speed Bump,4.752146,0.55,0.35718813557391615,0.9066689579229181,4.942400512695312,2.977842750549316,3.1714837551116943,4.942400512695312,37
Route_2,30.639702127774232,76.73610988555339,10.322399664609772,Pothole,10.0,1.0,3.2031827232576715,0.6482561349857408,6.475003538131714,7.220317306518554,23.150453567504883,7.220317306518554,97
Route_2,30.639607563289147,76.73589564004432,11.862910988740225,Speed Bump,9.827502,0.65,0.2924746039025612,1.9344675538343008,5.028542098999024,9.01074737548828,2.7313175201416016,9.01074737548828,38
Route_2,30.63948645194319,76.73568117995055,12.524381525910858,Speed Bump,7.833443,0.65,0.23050641970472022,-0.018402380899102067,5.555561122894288,5.635072174072265,2.2378268241882324,5.635072174072265,39
Route_2,30.639355945913007,76.73544409137466,13.645848398768802,Pothole,10.0,1.0,0.47071818025352324,8.742916963398216,13.288565931320191,9.824904861450195,2.817635297775269,13.288565931320191,98
Route_2,30.63920755598357,76.73519184341745,14.81543291133848,Speed Bump,6.50441,0.55,0.3257552557474295,0.7304198112419122,6.0341258621215825,4.806557121276855,2.766740322113037,6.0341258621215825,40
Route_2,30.639047846189758,76.73492301479108,15.672152336734722,Speed Bump,6.05073,0.55,0.34093425409497313,-0.16923482605999496,5.943198499679566,4.1413521194458,2.3805060386657715,5.943198499679566,41
Route_2,30.638884929260172,76.73464509697324,16.200918233329954,Speed Bump,7.283273,0.55,0.3690842888678645,-0.01990448835620251,7.11627989768982,5.022509040832519,3.573418617248535,7.11627989768982,41
Route_2,30.638721260995958,76.7343607187509,16.721051835315603,Speed Bump,6.83767,0.65,0.2593325655819166,0.12791145102227075,4.9854713058471685,4.782628479003906,1.5441317558288574,4.9854713058471685,42
Route_2,30.63855253204554,76.73407846114654,16.35471057381001,Pothole,10.0,0.9684127,0.7003445664799791,1.195236677287454,8.380288419723511,6.243447723388671,3.9588797092437744,8.380288419723511,99
Route_2,30.63838529392739,76.7337967663221,16.492405433104064,Speed Bump,6.71438,0.55,0.3934237922170753,-0.4684542956771862,5.924056110382081,5.266577186584472,2.8319737911224365,5.924056110382081,43
Route_2,30.638214085923764,76.7335123535412,16.451850221044538,Pothole,7.113885,0.66921693,0.4232255353561425,3.817358803850067,7.460846481323243,10.538564147949218,2.4285542964935303,10.538564147949218,100
